date,cleaned_tweet,polarity,subjectivity,Sentiment,date,username,Base_tweet,hashtags,nlikes,search,Bank,mean,rolling
2021-08-18 02:06:13,lovefnb,0.0,0.0,Neutral,2021-08-18 02:06:13,Bhekala1,Feature Analyst - Standard Bank - Gauteng  https://t.co/SWLiNo62iX #jobs #resume,"['jobs', 'resume']",0,"StandardBankZA OR ""Standard Bank""",StandardBank,0.0,0.0
2021-08-18 02:12:25,lovefnb,0.0,0.0,Neutral,2021-08-18 02:12:25,DaisyMolatlhegi,@FNBSA #LoveFNB,['lovefnb'],0,FNBSA,StandardBank,0.0,0.0
2021-08-18 02:21:31,lovefnb,0.0,0.0,Neutral,2021-08-18 02:21:31,SgtOllie,@FNBSA #LoveFNB,['lovefnb'],0,FNBSA,StandardBank,0.0,0.0
2021-08-18 02:22:12,lovefnb,0.0,0.0,Neutral,2021-08-18 02:22:12,ChantalOliver1,@FNBSA #LoveFNB,['lovefnb'],0,FNBSA,StandardBank,0.0,0.0
2021-08-18 02:22:49,lovefnb,0.0,0.0,Neutral,2021-08-18 02:22:49,ChantalOliver1,@FNBSA #LoveFNB,['lovefnb'],0,FNBSA,StandardBank,0.0,0.0
2021-08-18 02:26:31,lovefnb,0.0,0.0,Neutral,2021-08-18 02:26:31,janmhlongo,#LoveFNB ❤️ @FNBSA,['lovefnb'],0,FNBSA,StandardBank,0.0,0.0
2021-08-18 02:32:45,thank thando appreciate nod,0.0,0.0,Neutral,2021-08-18 02:32:45,mphompofu1,@ttmakhathini @FNBSA Thank you Thando.  Appreciate the nod,[],1,FNBSA,StandardBank,0.0,0.0
2021-08-18 02:48:17,,0.0,0.0,Neutral,2021-08-18 02:48:17,PhathutshedzoP5,@FNBSA  https://t.co/4S9we6t2If,[],0,FNBSA,StandardBank,0.0,0.0
2021-08-18 02:54:52,lovefnb,0.0,0.0,Neutral,2021-08-18 02:54:52,morateg88181378,@FNBSA #LoveFNB,['lovefnb'],0,FNBSA,StandardBank,0.0,0.0
2021-08-18 03:00:34,possible journalist private bank statements clients,0.0,0.6875,Neutral,2021-08-18 03:00:34,VusiN5,@Rebaone59275709 @FNBSA how is it possible for the journalist to get private bank statements of your clients???,[],0,FNBSA,StandardBank,0.0,0.0
2021-08-18 03:07:06,grandmother supermarket lovefnb,0.0,0.0,Neutral,2021-08-18 03:07:06,bokamoso_mokone,@FNBSA My grandmother she own a supermarket #LoveFNB,['lovefnb'],0,FNBSA,StandardBank,0.0,0.0
2021-08-18 03:08:10,ready homes phoenix durban,0.2,0.5,Positive,2021-08-18 03:08:10,niranjaninaicke,"@FNBSA Ready Homes in Phoenix, Durban.",[],0,FNBSA,StandardBank,0.016666666666666666,0.016666666666666666
2021-08-18 03:09:16,lovefnb,0.0,0.0,Neutral,2021-08-18 03:09:16,SashaGovender4,@FNBSA #LoveFNB,['lovefnb'],0,FNBSA,StandardBank,0.015384615384615385,0.015384615384615385
2021-08-18 03:24:13,love fnb,0.5,0.6,Positive,2021-08-18 03:24:13,luhm_luhM4,@FNBSA #Love Fnb,['love'],0,FNBSA,StandardBank,0.049999999999999996,0.049999999999999996
2021-08-18 03:28:50,rubbish dont give home loans self employed women u give loans employ regular salary stop pretending care,0.0,0.07692307692307693,Neutral,2021-08-18 03:28:50,itumeleng23,"@SlwaneToYou @110_percent_ @Blcktyde @StandardBankZA Yoh haai😕😩, i hate earth",[],12,"StandardBankZA OR ""Standard Bank""",StandardBank,0.04666666666666666,0.04666666666666666
2021-08-18 03:42:54,access statements guys anything,0.0,0.0,Neutral,2021-08-18 03:42:54,BongzM7,How did you get access to these statements? @FNBSA do you guys have anything to do with this?,[],0,FNBSA,StandardBank,0.04375,0.04375
2021-08-18 04:20:06,lovefnb one numbers buys fruits veggies boer woes sell home making quite money,0.0,0.0,Neutral,2021-08-18 04:20:06,JabulaniMzila,"@FNBSA #LoveFNB One of my numbers she buys fruits, veggies, and Boer woes sell it at her home and making quite some money ❤️♥️❤️....!!!!",['lovefnb'],0,FNBSA,StandardBank,0.041176470588235294,0.041176470588235294
2021-08-18 04:21:52,lovefnb ive opened kwa asa rainbow cuisine th may situated next orlando stadium way use speedpointers,0.0,0.0,Neutral,2021-08-18 04:21:52,AstraNgesi,@FNBSA #LoveFNB Myself 🙂I've opened Kwa Asa Rainbow cuisine on the 28th May 2021. Situated next to Orlando stadium. By the way I use @FNBSA speedpointers 😄🙏  https://t.co/xzQwPaH6sB,['lovefnb'],2,FNBSA,StandardBank,0.03888888888888889,0.03888888888888889
2021-08-18 04:27:27,haaibo guys take prescribed debts add banking profiles yhooooo haaai niyasi lootha mos,0.0,0.0,Neutral,2021-08-18 04:27:27,mthandekizincu1,"@FNBSA haaibo guys, why do you take prescribed debts and add them to our banking profiles.... Yhooooo haaai niyasi lootha mos. 💔😭😰😫",[],0,FNBSA,StandardBank,0.03684210526315789,0.03684210526315789
2021-08-18 04:40:12,lovefnb,0.0,0.0,Neutral,2021-08-18 04:40:12,EmilyMamogo,@FNBSA #LoveFNB,['lovefnb'],0,FNBSA,StandardBank,0.034999999999999996,0.034999999999999996
2021-08-18 04:40:35,lovefnb,0.0,0.0,Neutral,2021-08-18 04:40:35,EmilyMamogo,@FNBSA #LoveFNB,['lovefnb'],0,FNBSA,StandardBank,0.03333333333333333,0.03333333333333333
2021-08-18 04:43:19,lovefnb,0.0,0.0,Neutral,2021-08-18 04:43:19,IsayaLativa,@FNBSA #LoveFNB,['lovefnb'],0,FNBSA,StandardBank,0.031818181818181815,0.031818181818181815
2021-08-18 04:44:22,lovefnb kofifis kota shop edumbe tholakele,0.0,0.0,Neutral,2021-08-18 04:44:22,Smamane1,@FNBSA #LoveFNB  Kofifis Kota shop at eDumbe Tholakele,['lovefnb'],0,FNBSA,StandardBank,0.03043478260869565,0.03043478260869565
2021-08-18 05:14:35,open page platform unfair dismissals fnb will schocked,-0.25,0.75,Negative,2021-08-18 05:14:35,Busisiw28022967,@Nkalala @LivhuwaniPreci4 @lungstagangsta @TshepiJoseph21 @FNBSA If we could open a page or platform  of unfair dismissals from FNB you will be schocked.,[],1,FNBSA,StandardBank,0.01875,0.01875
2021-08-18 05:16:09,lovefnb,0.0,0.0,Neutral,2021-08-18 05:16:09,LesibaSebuenya1,@FNBSA #LoveFNB,['lovefnb'],0,FNBSA,StandardBank,0.018,0.018
2021-08-18 05:16:50,tried dear even went eff labour desk still othing,0.0,0.0,Neutral,2021-08-18 05:16:50,Busisiw28022967,@LivhuwaniPreci4 @Nono00197391099 @FNBSA We tried dear even went to EFF labour desk still ñothing.,[],1,FNBSA,StandardBank,0.017307692307692305,0.017307692307692305
2021-08-18 05:20:22,well yesss thank fnb,0.0,0.0,Neutral,2021-08-18 05:20:22,MonicaMabiza,"@FNBSA Well yesss, thank you FNB 🕯️",[],0,FNBSA,StandardBank,0.016666666666666666,0.016666666666666666
2021-08-18 05:20:49,mine,0.0,0.0,Neutral,2021-08-18 05:20:49,mkhasibe_gill,@FNBSA Mine!,[],0,FNBSA,StandardBank,0.01607142857142857,0.01607142857142857
2021-08-18 05:25:29,thank,0.0,0.0,Neutral,2021-08-18 05:25:29,MalungaZinhle,Thank you@FNBSA,[],0,FNBSA,StandardBank,0.015517241379310343,0.015517241379310343
2021-08-18 05:31:36,lottery one going national lottery mobile app,0.0,0.0,Neutral,2021-08-18 05:31:36,Sifundo16371029,@GsMosia @sa_lottery @FNBSA This one is going to National Lottery Mobile App🕯🕯🕯🤑🤑🤑,[],2,FNBSA,StandardBank,0.014999999999999998,0.014999999999999998
2021-08-18 05:38:38,lovefnb,0.0,0.0,Neutral,2021-08-18 05:38:38,Deesplly,@FNBSA #LoveFNB,['lovefnb'],0,FNBSA,StandardBank,0.014516129032258063,0.014516129032258063
2021-08-18 05:42:12,got cant even see calculated used show worth anymore,0.3,0.1,Positive,2021-08-18 05:42:12,jaxbr,@Ipeleng05 @StandardBankZA Please check your reviews on the app play store. Aftet the update on 10 August LOTS of users have this problem,[],0,"StandardBankZA OR ""Standard Bank""",StandardBank,0.0234375,0.0234375
2021-08-18 05:43:38,pauli go police amp open corruption casethis charecter assassination ampslandering wont take anywhere,0.0,0.5,Neutral,2021-08-18 05:43:38,Indigenous_SA,"@TataneMabasa @PaulivW @FNBSA Pauli should go to the police &amp; open a corruption case,this charecter Assassination &amp;slandering won't take her anywhere.",[],1,FNBSA,StandardBank,0.022727272727272728,0.022727272727272728
2021-08-18 05:49:42,lovefnb,0.0,0.0,Neutral,2021-08-18 05:49:42,ImaanAbzal,@FNBSA #LoveFNB,['lovefnb'],0,FNBSA,StandardBank,0.022058823529411766,0.022058823529411766
